token_fk;brand_name;brand_family
KA1;K1;K1/DOKU
K1D;K1D;K1/DOKU
71M;OTHERS;OTHERS
PSD;OTHERS;OTHERS
VER;OTHERS;OTHERS
DIP;OTHERS;OTHERS
BUT;OTHERS;OTHERS
CMA;OTHERS;OTHERS
PAY;OTHERS;OTHERS
ADF;OTHERS;OTHERS
PUL;OTHERS;OTHERS
GWT;OTHERS;OTHERS
HOL;OTHERS;OTHERS
7SP;OTHERS;OTHERS
TVD;OTHERS;OTHERS
P7W;OTHERS;OTHERS
STA;OTHERS;OTHERS
PR7;P7;P7/MAXX
DP7;P7;P7/MAXX
P7M;P7MAXX;P7/MAXX
DPX;P7MAXX;P7/MAXX
SAT;S1;S1/GOLD
DS1;S1;S1/GOLD
S1G;S1G;S1/GOLD
SIX;SIXX;SIXX
DSX;SIXX;SIXX
DIG;OTHERS;OTHERS
71S;OTHERS;OTHERS
OTH;OTHERS;OTHERS
MAX;;
71A;;
PSG;;
PLI;;
WET;;
RED;;
INT;;
FEM;;
EXT;;
SDV;;
ADJ;;
MYD;;
NULL;;
MGI;;
RSA;;
PSP;;
APP;;
DAG;;
COM;;
PIC;;
