department_id;department_token;department_name
1;M;Marketing
2;R;Redaktion
3;Audiotex;Audiotex
4;DIS;Distribution
5;DIV;Diverse
6;EXT;Extern
7;GF;Geschäftsführung
8;HR;HumanRessources
9;K1C;kabeleinsClassics
10;Mobile;Mobile
11;Online-Marketing;Online-Marketing
12;P7F;ProSiebenFun
13;P7MAustria;ProSiebenMAXXAustria
14;PR;PublicRelations
15;PR7.de;ProSieben.de
16;S1E;SAT.1Emotions
17;S1GÖsterreich;SAT.1GoldÖsterreich
18;Sales;Sales
19;SalesMarketing;SalesMarketing
20;Strat.Marketing;StrategicMarketing
21;Online;Online
22;MobileAccess;MobileAccess
23;ranOnline;ranOnline
24;Telefonansagen;Telefonansagen
25;Teletext;Teletext
26;Online-Redaktion;Online-Redaktion
27;RedButton;RedButton
28;U-Kom;U-Kom
29;Sonstiges;Sonstiges
30;DigitalContent;DigitalContent
